[2025-06-24 11:59:45] 🔁 Neues Training mit max_steps=114000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 12:17:45] 🔁 Neues Training mit max_steps=115000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 12:35:45] 🔁 Neues Training mit max_steps=116000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 12:53:45] 🔁 Neues Training mit max_steps=117000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 13:11:45] 🔁 Neues Training mit max_steps=118000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 13:29:45] 🔁 Neues Training mit max_steps=119000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 13:47:45] 🔁 Neues Training mit max_steps=120000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 14:05:45] 🔁 Neues Training mit max_steps=121000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 14:27:46] 🔁 Neues Training mit max_steps=122000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 14:51:46] 🔁 Neues Training mit max_steps=123000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 15:17:46] 🔁 Neues Training mit max_steps=124000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 15:43:46] 🔁 Neues Training mit max_steps=125000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 16:07:46] 🔁 Neues Training mit max_steps=126000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 16:31:46] 🔁 Neues Training mit max_steps=127000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 16:53:46] 🔁 Neues Training mit max_steps=128000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 17:15:46] 🔁 Neues Training mit max_steps=129000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 17:37:47] 🔁 Neues Training mit max_steps=130000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 17:59:47] 🔁 Neues Training mit max_steps=131000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 18:21:47] 🔁 Neues Training mit max_steps=132000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 18:45:47] 🔁 Neues Training mit max_steps=133000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 19:07:47] 🔁 Neues Training mit max_steps=134000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 19:29:47] 🔁 Neues Training mit max_steps=135000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 19:51:47] 🔁 Neues Training mit max_steps=136000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 20:13:47] 🔁 Neues Training mit max_steps=137000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 20:35:47] 🔁 Neues Training mit max_steps=138000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 20:57:48] 🔁 Neues Training mit max_steps=139000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 21:19:48] 🔁 Neues Training mit max_steps=140000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 21:41:48] 🔁 Neues Training mit max_steps=141000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 22:03:48] 🔁 Neues Training mit max_steps=142000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 22:27:48] 🔁 Neues Training mit max_steps=143000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 22:51:48] 🔁 Neues Training mit max_steps=144000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 23:15:48] 🔁 Neues Training mit max_steps=145000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-24 23:39:48] 🔁 Neues Training mit max_steps=146000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 00:01:48] 🔁 Neues Training mit max_steps=147000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 00:23:49] 🔁 Neues Training mit max_steps=148000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 00:45:49] 🔁 Neues Training mit max_steps=149000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 01:09:49] 🔁 Neues Training mit max_steps=150000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 01:33:49] 🔁 Neues Training mit max_steps=151000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 01:55:49] 🔁 Neues Training mit max_steps=152000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 02:19:49] 🔁 Neues Training mit max_steps=153000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 02:41:49] 🔁 Neues Training mit max_steps=154000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 03:03:49] 🔁 Neues Training mit max_steps=155000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 03:25:49] 🔁 Neues Training mit max_steps=156000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 03:47:49] 🔁 Neues Training mit max_steps=157000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 04:11:50] 🔁 Neues Training mit max_steps=158000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 04:33:50] 🔁 Neues Training mit max_steps=159000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 04:55:50] 🔁 Neues Training mit max_steps=160000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 05:19:50] 🔁 Neues Training mit max_steps=161000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 05:43:50] 🔁 Neues Training mit max_steps=162000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 06:05:50] 🔁 Neues Training mit max_steps=163000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 06:29:50] 🔁 Neues Training mit max_steps=164000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 06:53:50] 🔁 Neues Training mit max_steps=165000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 07:17:51] 🔁 Neues Training mit max_steps=166000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

